Data,Valoare EUR (exprimată in lei)
22.02.2020,
23.02.2020,
24.02.2020,4.8024
25.02.2020,4.8079
26.02.2020,4.8074
27.02.2020,4.8068
28.02.2020,4.8127
29.02.2020,
01.03.2020,
02.03.2020,4.8103
03.03.2020,4.8074
04.03.2020,4.8057
05.03.2020,4.8086
06.03.2020,4.8110
07.03.2020,
08.03.2020,
09.03.2020,4.8184
10.03.2020,4.8170
11.03.2020,4.8167
12.03.2020,4.8157
13.03.2020,4.8174
14.03.2020,
15.03.2020,
16.03.2020,4.8242
17.03.2020,4.8448
18.03.2020,4.8438
19.03.2020,4.8440
20.03.2020,4.8444
21.03.2020,
22.03.2020,
23.03.2020,4.8443
24.03.2020,4.8445
25.03.2020,4.8367
26.03.2020,4.8345
27.03.2020,4.8332
28.03.2020,
29.03.2020,
30.03.2020,4.8297
31.03.2020,4.8254
01.04.2020,4.8246
02.04.2020,4.8288
03.04.2020,4.8286
04.04.2020,
05.04.2020,
06.04.2020,4.8280
07.04.2020,4.8314
08.04.2020,4.8338
09.04.2020,4.8278
10.04.2020,4.8277
11.04.2020,
12.04.2020,
13.04.2020,4.8297
14.04.2020,4.8327
15.04.2020,4.8345
16.04.2020,4.8360
17.04.2020,
18.04.2020,
19.04.2020,
20.04.2020,
21.04.2020,4.8345
22.04.2020,4.8382
23.04.2020,4.8414
24.04.2020,4.8412
25.04.2020,
26.04.2020,
27.04.2020,4.8360
28.04.2020,4.8436
29.04.2020,4.8425
30.04.2020,4.8421
01.05.2020,
02.05.2020,
03.05.2020,
04.05.2020,4.8387
05.05.2020,4.8290
06.05.2020,4.8258
07.05.2020,4.8242
08.05.2020,4.8278
09.05.2020,
10.05.2020,
11.05.2020,4.8295
12.05.2020,4.8297
13.05.2020,4.8349
14.05.2020,4.8376
15.05.2020,4.8390
16.05.2020,
17.05.2020,
18.05.2020,4.8392
19.05.2020,4.8395
20.05.2020,4.8421
21.05.2020,4.8425
22.05.2020,4.8422
23.05.2020,
24.05.2020,
25.05.2020,4.8396
26.05.2020,4.8415
27.05.2020,4.8432
28.05.2020,4.8421
29.05.2020,4.8426
30.05.2020,
31.05.2020,
01.06.2020,
02.06.2020,4.8419
03.06.2020,4.8398
04.06.2020,4.8387
05.06.2020,4.8393
06.06.2020,
07.06.2020,
08.06.2020,
09.06.2020,4.8377
10.06.2020,4.8338
11.06.2020,4.8358
12.06.2020,4.8340
13.06.2020,
14.06.2020,
15.06.2020,4.8337
16.06.2020,4.8360
17.06.2020,4.8350
18.06.2020,4.8394
19.06.2020,4.8421
20.06.2020,
21.06.2020,
22.06.2020,4.8415
23.06.2020,4.8428
24.06.2020,4.8432
25.06.2020,4.8422
26.06.2020,4.8421
27.06.2020,
28.06.2020,
29.06.2020,4.8439
30.06.2020,4.8423
01.07.2020,4.8372
02.07.2020,4.8319
03.07.2020,4.8378
04.07.2020,
05.07.2020,
06.07.2020,4.8365
07.07.2020,4.8397
08.07.2020,4.8406
09.07.2020,4.8408
10.07.2020,4.8418
11.07.2020,
12.07.2020,
13.07.2020,4.8423
14.07.2020,4.8430
15.07.2020,4.8433
16.07.2020,4.8429
17.07.2020,4.8428
18.07.2020,
19.07.2020,
20.07.2020,4.8427
21.07.2020,4.8417
22.07.2020,4.8401
23.07.2020,4.8353
24.07.2020,4.8340
25.07.2020,
26.07.2020,
27.07.2020,4.8276
28.07.2020,4.8335
29.07.2020,4.8342
30.07.2020,4.8321
31.07.2020,4.8316
01.08.2020,
02.08.2020,
03.08.2020,4.8351
04.08.2020,4.8341
05.08.2020,4.8336
06.08.2020,4.8359
07.08.2020,4.8375
08.08.2020,
09.08.2020,
10.08.2020,4.8359
11.08.2020,4.8347
12.08.2020,4.8357
13.08.2020,4.8344
14.08.2020,4.8358
15.08.2020,
16.08.2020,
17.08.2020,4.8344
18.08.2020,4.8349
19.08.2020,4.8390
20.08.2020,4.8396
21.08.2020,4.8400
22.08.2020,
23.08.2020,
24.08.2020,4.8402
25.08.2020,4.8392
26.08.2020,4.8404
27.08.2020,4.8424
28.08.2020,4.8387
29.08.2020,
30.08.2020,
31.08.2020,4.8404
01.09.2020,4.8393
02.09.2020,4.8409
03.09.2020,4.8442
04.09.2020,4.8492
05.09.2020,
06.09.2020,
07.09.2020,4.8552
08.09.2020,4.8545
09.09.2020,4.8590
10.09.2020,4.8573
11.09.2020,4.8567
12.09.2020,
13.09.2020,
14.09.2020,4.8573
15.09.2020,4.8567
16.09.2020,4.8586
17.09.2020,4.8595
18.09.2020,4.8582
19.09.2020,
20.09.2020,
21.09.2020,4.8583
22.09.2020,4.8590
23.09.2020,4.8641
24.09.2020,4.8722
25.09.2020,4.8750
26.09.2020,
27.09.2020,
28.09.2020,4.8705
29.09.2020,4.8738
30.09.2020,4.8698
01.10.2020,4.8721
02.10.2020,4.8718
03.10.2020,
04.10.2020,
05.10.2020,4.8695
06.10.2020,4.8742
07.10.2020,4.8729
08.10.2020,4.8741
09.10.2020,4.8720
10.10.2020,
11.10.2020,
12.10.2020,4.8718
13.10.2020,4.8739
14.10.2020,4.8734
15.10.2020,4.8736
16.10.2020,4.8737
17.10.2020,
18.10.2020,
19.10.2020,4.8746
20.10.2020,4.8738
21.10.2020,4.8737
22.10.2020,4.8730
23.10.2020,4.8744
24.10.2020,
25.10.2020,
26.10.2020,4.8731
27.10.2020,4.8741
28.10.2020,4.8746
29.10.2020,4.8747
30.10.2020,4.8743
31.10.2020,
01.11.2020,
02.11.2020,4.8643
03.11.2020,4.8675
04.11.2020,4.8672
05.11.2020,4.8657
06.11.2020,4.8668
07.11.2020,
08.11.2020,
09.11.2020,4.8674
10.11.2020,4.8667
11.11.2020,4.8678
12.11.2020,4.8686
13.11.2020,4.8690
14.11.2020,
15.11.2020,
16.11.2020,4.8715
17.11.2020,4.8729
18.11.2020,4.8725
19.11.2020,4.8729
20.11.2020,4.8730
21.11.2020,
22.11.2020,
23.11.2020,4.8732
24.11.2020,4.8703
25.11.2020,4.8730
26.11.2020,4.8738
27.11.2020,4.8735
28.11.2020,
29.11.2020,
30.11.2020,
01.12.2020,
02.12.2020,4.8721
03.12.2020,4.8736
04.12.2020,4.8725
05.12.2020,
06.12.2020,
07.12.2020,4.8733
08.12.2020,4.8735
09.12.2020,4.8680
10.12.2020,4.8692
11.12.2020,4.8693
12.12.2020,
13.12.2020,
14.12.2020,4.8730
15.12.2020,4.8686
16.12.2020,4.8684
17.12.2020,4.8697
18.12.2020,4.8677
19.12.2020,
20.12.2020,
21.12.2020,4.8663
22.12.2020,4.8649
23.12.2020,4.8705
24.12.2020,4.8720
25.12.2020,
26.12.2020,
27.12.2020,
28.12.2020,4.8735
29.12.2020,4.8743
30.12.2020,4.8744
31.12.2020,4.8694
01.01.2021,
02.01.2021,
03.01.2021,
04.01.2021,4.8691
05.01.2021,4.8710
06.01.2021,4.8700
07.01.2021,4.8701
08.01.2021,4.8704
09.01.2021,
10.01.2021,
11.01.2021,4.8709
12.01.2021,4.8715
13.01.2021,4.8738
14.01.2021,4.8728
15.01.2021,4.8737
16.01.2021,
17.01.2021,
18.01.2021,4.8740
19.01.2021,4.8742
20.01.2021,4.8741
21.01.2021,4.8738
22.01.2021,4.8740
23.01.2021,
24.01.2021,
25.01.2021,4.8744
26.01.2021,4.8746
27.01.2021,4.8745
28.01.2021,4.8742
29.01.2021,4.8743
30.01.2021,
31.01.2021,
01.02.2021,4.8728
02.02.2021,4.8739
03.02.2021,4.8713
04.02.2021,4.8742
05.02.2021,4.8744
06.02.2021,
07.02.2021,
08.02.2021,4.8740
09.02.2021,4.8745
10.02.2021,4.8744
11.02.2021,4.8741
12.02.2021,4.8743
13.02.2021,
14.02.2021,
15.02.2021,4.8745
16.02.2021,4.8747
17.02.2021,4.8746
18.02.2021,4.8748
19.02.2021,4.8747
20.02.2021,
21.02.2021,
22.02.2021,4.8746
23.02.2021,4.8745
24.02.2021,4.8743
25.02.2021,4.8725
26.02.2021,4.8745
27.02.2021,
28.02.2021,
01.03.2021,4.8744
02.03.2021,4.8747
03.03.2021,4.8768
04.03.2021,4.8784
05.03.2021,4.8831
06.03.2021,
07.03.2021,
08.03.2021,4.8838
09.03.2021,4.8849
10.03.2021,4.8863
11.03.2021,4.8854
12.03.2021,4.8854
13.03.2021,
14.03.2021,
15.03.2021,4.8846
16.03.2021,4.8861
17.03.2021,4.8879
18.03.2021,4.8876
19.03.2021,4.8858
20.03.2021,
21.03.2021,
22.03.2021,4.8850
23.03.2021,4.8888
24.03.2021,4.8886
25.03.2021,4.8864
26.03.2021,4.8869
27.03.2021,
28.03.2021,
29.03.2021,4.8972
30.03.2021,4.9156
31.03.2021,4.9251
01.04.2021,4.9117
02.04.2021,4.9106
03.04.2021,
04.04.2021,
05.04.2021,4.9161
06.04.2021,4.9170
07.04.2021,4.9168
08.04.2021,4.9228
09.04.2021,4.9212
10.04.2021,
11.04.2021,
12.04.2021,4.9205
13.04.2021,4.9225
14.04.2021,4.9226
15.04.2021,4.9245
16.04.2021,4.9243
17.04.2021,
18.04.2021,
19.04.2021,4.9261
20.04.2021,4.9279
21.04.2021,4.9260
22.04.2021,4.9255
23.04.2021,4.9257
24.04.2021,
25.04.2021,
26.04.2021,4.9238
27.04.2021,4.9260
28.04.2021,4.9270
29.04.2021,4.9247
30.04.2021,
01.05.2021,
02.05.2021,
03.05.2021,
04.05.2021,4.9256
05.05.2021,4.9254
06.05.2021,4.9266
07.05.2021,4.9262
08.05.2021,
09.05.2021,
10.05.2021,4.9259
11.05.2021,4.9265
12.05.2021,4.9263
13.05.2021,4.9265
14.05.2021,4.9253
15.05.2021,
16.05.2021,
17.05.2021,4.9256
18.05.2021,4.9268
19.05.2021,4.9267
20.05.2021,4.9265
21.05.2021,4.9268
22.05.2021,
23.05.2021,
24.05.2021,4.9261
25.05.2021,4.9246
26.05.2021,4.9225
27.05.2021,4.9160
28.05.2021,4.9190
29.05.2021,
30.05.2021,
31.05.2021,4.9198
01.06.2021,
02.06.2021,4.9197
03.06.2021,4.9227
04.06.2021,4.9228
05.06.2021,
